rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate,latitude,longitude,bedrooms_max
615.16,2020,1,2020H1,1,Kerry,Munster,Tralee,"Tralee, Kerry",Apartment,One bed,1.0,False,False,False,52.1545,-9.5669,1
952.88,2020,1,2020H1,1,Kildare,Leinster,Kildare,Kildare,Apartment,One bed,1.0,False,False,True,53.1589,-6.9099,1
834.81,2020,1,2020H1,1,Kildare,Leinster,Kildare Town,Kildare Town,Apartment,One bed,1.0,False,False,False,53.1589,-6.9099,1
956.29,2020,1,2020H1,1,Kildare,Leinster,Clane,"Clane, Kildare",Apartment,One bed,1.0,False,False,False,53.1589,-6.9099,1
955.24,2020,1,2020H1,1,Kildare,Leinster,Kilcock,"Kilcock, Kildare",Apartment,One bed,1.0,False,False,False,53.1589,-6.9099,1
1108.34,2020,1,2020H1,1,Kildare,Leinster,Leixlip,"Leixlip, Kildare",Apartment,One bed,1.0,False,False,False,53.1589,-6.9099,1
1154.82,2020,1,2020H1,1,Kildare,Leinster,Maynooth,"Maynooth, Kildare",Apartment,One bed,1.0,False,False,False,53.1589,-6.9099,1
1007.61,2020,1,2020H1,1,Kildare,Leinster,Naas,"Naas, Kildare",Apartment,One bed,1.0,False,False,False,53.1589,-6.9099,1
834.99,2020,1,2020H1,1,Kildare,Leinster,Newbridge,"Newbridge, Kildare",Apartment,One bed,1.0,False,False,False,53.1589,-6.9099,1
674.44,2020,1,2020H1,1,Kilkenny,Leinster,Kilkenny,Kilkenny,Apartment,One bed,1.0,False,False,True,52.6541,-7.2448,1
630.07,2020,1,2020H1,1,Laois,Leinster,Laois,Laois,Apartment,One bed,1.0,False,False,True,53.0349,-7.299,1
459.29,2020,1,2020H1,1,Leitrim,Connacht,Leitrim,Leitrim,Apartment,One bed,1.0,False,False,True,54.1255,-8.0597,1
466.47,2020,1,2020H1,1,Leitrim,Connacht,Carrick-On-Shannon,"Carrick-On-Shannon, Leitrim",Apartment,One bed,1.0,False,False,False,54.1255,-8.0597,1
757.42,2020,1,2020H1,1,Limerick,Munster,Limerick,Limerick,Apartment,One bed,1.0,False,False,True,52.6638,-8.6267,1
789.07,2020,1,2020H1,1,Limerick,Munster,Limerick City,Limerick City,Apartment,One bed,1.0,False,True,False,52.6638,-8.6267,1
513.04,2020,1,2020H1,1,Longford,Leinster,Longford,Longford,Apartment,One bed,1.0,False,False,True,53.7275,-7.7932,1
514.81,2020,1,2020H1,1,Longford,Leinster,Longford Town,Longford Town,Apartment,One bed,1.0,False,False,False,53.7275,-7.7932,1
850.78,2020,1,2020H1,1,Louth,Leinster,Louth,Louth,Apartment,One bed,1.0,False,False,True,53.9252,-6.4889,1
891.4,2020,1,2020H1,1,Louth,Leinster,Drogheda,"Drogheda, Louth",Apartment,One bed,1.0,False,False,False,53.9252,-6.4889,1
733.88,2020,1,2020H1,1,Louth,Leinster,Dundalk,"Dundalk, Louth",Apartment,One bed,1.0,False,False,False,53.9252,-6.4889,1
552.16,2020,1,2020H1,1,Mayo,Connacht,Mayo,Mayo,Apartment,One bed,1.0,False,False,True,53.855,-9.2986,1
544.61,2020,1,2020H1,1,Mayo,Connacht,Ballina,"Ballina, Mayo",Apartment,One bed,1.0,False,False,False,53.855,-9.2986,1
574.61,2020,1,2020H1,1,Mayo,Connacht,Castlebar,"Castlebar, Mayo",Apartment,One bed,1.0,False,False,False,53.855,-9.2986,1
909.89,2020,1,2020H1,1,Meath,Leinster,Meath,Meath,Apartment,One bed,1.0,False,False,True,53.6055,-6.6564,1
735.78,2020,1,2020H1,1,Meath,Leinster,Kells,"Kells, Meath",Apartment,One bed,1.0,False,False,False,53.6055,-6.6564,1
874.42,2020,1,2020H1,1,Meath,Leinster,Navan,"Navan, Meath",Apartment,One bed,1.0,False,False,False,53.6055,-6.6564,1
816.21,2020,1,2020H1,1,Meath,Leinster,Trim,"Trim, Meath",Apartment,One bed,1.0,False,False,False,53.6055,-6.6564,1
546.66,2020,1,2020H1,1,Monaghan,Ulster,Monaghan,Monaghan,Apartment,One bed,1.0,False,False,True,54.2492,-6.9683,1
588.38,2020,1,2020H1,1,Monaghan,Ulster,Monaghan Town,Monaghan Town,Apartment,One bed,1.0,False,False,False,54.2492,-6.9683,1
598.12,2020,1,2020H1,1,Offaly,Leinster,Offaly,Offaly,Apartment,One bed,1.0,False,False,True,53.2734,-7.7783,1
530.37,2020,1,2020H1,1,Offaly,Leinster,Birr,"Birr, Offaly",Apartment,One bed,1.0,False,False,False,53.2734,-7.7783,1
676.22,2020,1,2020H1,1,Offaly,Leinster,Tullamore,"Tullamore, Offaly",Apartment,One bed,1.0,False,False,False,53.2734,-7.7783,1
525.3,2020,1,2020H1,1,Roscommon,Connacht,Roscommon,Roscommon,Apartment,One bed,1.0,False,False,True,53.7593,-8.2682,1
587.8,2020,1,2020H1,1,Sligo,Connacht,Sligo,Sligo,Apartment,One bed,1.0,False,False,True,54.2766,-8.4761,1
577.45,2020,1,2020H1,1,Sligo,Connacht,Sligo Town,Sligo Town,Apartment,One bed,1.0,False,False,False,54.2766,-8.4761,1
524.15,2020,1,2020H1,1,Tipperary,Munster,Tipperary,Tipperary,Apartment,One bed,1.0,False,False,True,52.4738,-8.1619,1
519.42,2020,1,2020H1,1,Tipperary,Munster,Clonmel,"Clonmel, Tipperary",Apartment,One bed,1.0,False,False,False,52.4738,-8.1619,1
542.93,2020,1,2020H1,1,Tipperary,Munster,Nenagh,"Nenagh, Tipperary",Apartment,One bed,1.0,False,False,False,52.4738,-8.1619,1
670.23,2020,1,2020H1,1,Waterford,Munster,Waterford,Waterford,Apartment,One bed,1.0,False,False,True,52.2593,-7.1101,1
682.84,2020,1,2020H1,1,Waterford,Munster,Waterford City,Waterford City,Apartment,One bed,1.0,False,True,False,52.2593,-7.1101,1
647.24,2020,1,2020H1,1,Westmeath,Leinster,Westmeath,Westmeath,Apartment,One bed,1.0,False,False,True,53.5336,-7.3389,1
684.09,2020,1,2020H1,1,Westmeath,Leinster,Athlone,"Athlone, Westmeath",Apartment,One bed,1.0,False,False,False,53.5336,-7.3389,1
606.1,2020,1,2020H1,1,Westmeath,Leinster,Mullingar,"Mullingar, Westmeath",Apartment,One bed,1.0,False,False,False,53.5336,-7.3389,1
584.21,2020,1,2020H1,1,Wexford,Leinster,Wexford,Wexford,Apartment,One bed,1.0,False,False,True,52.3369,-6.4633,1
635.72,2020,1,2020H1,1,Wexford,Leinster,Gorey,"Gorey, Wexford",Apartment,One bed,1.0,False,False,False,52.3369,-6.4633,1
549.34,2020,1,2020H1,1,Wexford,Leinster,New Ross,"New Ross, Wexford",Apartment,One bed,1.0,False,False,False,52.3369,-6.4633,1
1050.34,2020,1,2020H1,1,Wicklow,Leinster,Wicklow,Wicklow,Apartment,One bed,1.0,False,False,True,52.9862,-6.3673,1
743.51,2020,1,2020H1,1,Wicklow,Leinster,Arklow,"Arklow, Wicklow",Apartment,One bed,1.0,False,False,False,52.9862,-6.3673,1
1126.09,2020,1,2020H1,1,Wicklow,Leinster,Bray,"Bray, Wicklow",Apartment,One bed,1.0,False,False,False,52.9862,-6.3673,1
582.92,2020,1,2020H1,1,Carlow,Leinster,Carlow,Carlow,Other flats,One bed,1.0,False,False,True,52.8365,-6.9341,1
446.1,2020,1,2020H1,1,Cavan,Ulster,Cavan,Cavan,Other flats,One bed,1.0,False,False,True,53.9908,-7.3606,1
426.76,2020,1,2020H1,1,Clare,Munster,Clare,Clare,Other flats,One bed,1.0,False,False,True,52.843,-8.9863,1
411.22,2020,1,2020H1,1,Clare,Munster,Ennis,"Ennis, Clare",Other flats,One bed,1.0,False,False,False,52.843,-8.9863,1
687.96,2020,1,2020H1,1,Cork,Munster,Cork,Cork,Other flats,One bed,1.0,False,False,True,51.8985,-8.4756,1
762.28,2020,1,2020H1,1,Cork,Munster,Cork City,Cork City,Other flats,One bed,1.0,False,True,False,51.8985,-8.4756,1
417.08,2020,1,2020H1,1,Donegal,Ulster,Donegal,Donegal,Other flats,One bed,1.0,False,False,True,54.6549,-8.1041,1
1052.02,2020,1,2020H1,1,Dublin,Leinster,Dublin,Dublin,Other flats,One bed,1.0,True,True,True,53.3498,-6.2603,1
1060.36,2020,1,2020H1,1,Dublin,Leinster,Dun Laoghaire,"Dun Laoghaire, Dublin",Other flats,One bed,1.0,True,True,False,53.3498,-6.2603,1
1143.4,2020,1,2020H1,1,Dublin,Leinster,Dublin 1,Dublin 1,Other flats,One bed,1.0,True,True,False,53.3498,-6.2603,1
1386.25,2020,1,2020H1,1,Dublin,Leinster,Dublin 2,Dublin 2,Other flats,One bed,1.0,True,True,False,53.3498,-6.2603,1
1136.03,2020,1,2020H1,1,Dublin,Leinster,Dublin 3,Dublin 3,Other flats,One bed,1.0,True,True,False,53.3498,-6.2603,1
1016.49,2020,1,2020H1,1,Dublin,Leinster,Clontarf,"Clontarf, Dublin 3",Other flats,One bed,1.0,True,True,False,53.3498,-6.2603,1
980.81,2020,1,2020H1,1,Dublin,Leinster,Drumcondra,"Drumcondra, Dublin 3",Other flats,One bed,1.0,True,True,False,53.3498,-6.2603,1
1071.65,2020,1,2020H1,1,Dublin,Leinster,Fairview,"Fairview, Dublin 3",Other flats,One bed,1.0,True,True,False,53.3498,-6.2603,1
